date,value
2015-09-30,95
2015-10-01,93
2015-10-02,62
2015-10-03,51
2015-10-04,22
2015-10-05,20
2015-10-06,26
2015-10-07,33
2015-10-08,37
2015-10-09,26
2015-10-10,13
2015-10-11,30
2015-10-12,53
2015-10-13,65
2015-10-14,57
2015-10-15,55
2015-10-16,59
2015-10-17,79
2015-10-18,75
2015-10-19,94
2015-10-20,95
2015-10-21,89
2015-10-22,107
2015-10-23,94
2015-10-24,78
2015-10-25,67
2015-10-26,78
2015-10-27,67
2015-10-28,81
2015-10-29,93
2015-10-30,88
2015-10-31,86
2015-11-01,85
2015-11-02,101
2015-11-03,82
2015-11-04,100
2015-11-05,82
2015-11-06,78
2015-11-07,82
2015-11-08,75
2015-11-09,66
2015-11-10,71
2015-11-11,61
2015-11-12,60
2015-11-13,49
2015-11-14,39
2015-11-15,56
2015-11-16,38
2015-11-17,34
2015-11-18,30
2015-11-19,41
2015-11-20,55
2015-11-21,58
2015-11-22,71
2015-11-23,56
2015-11-24,59
2015-11-25,61
2015-11-26,65
2015-11-27,61
2015-11-28,51
2015-11-29,51
2015-11-30,47
2015-12-01,32
2015-12-02,49
2015-12-03,36
2015-12-04,33
2015-12-05,50
2015-12-06,54
2015-12-07,61
2015-12-08,60
2015-12-09,78
2015-12-10,82
2015-12-11,83
2015-12-12,83
2015-12-13,81
2015-12-14,86
2015-12-15,65
2015-12-16,63
2015-12-17,56
2015-12-18,54
2015-12-19,49
2015-12-20,22
2015-12-21,18
2015-12-22,72
2015-12-23,68
2015-12-24,69
2015-12-25,76
2015-12-26,65
2015-12-27,67
2015-12-28,71
2015-12-29,57
2015-12-30,37
2015-12-31,22
2016-01-01,37
2016-01-02,40
2016-01-03,51
2016-01-04,70
2016-01-05,35
2016-01-06,31
2016-01-07,61
2016-01-08,86
2016-01-09,97
2016-01-10,90
2016-01-11,47
2016-01-12,40
2016-01-13,38
2016-01-14,41
2016-01-15,45
2016-01-16,44
2016-01-17,58
2016-01-18,54
2016-01-19,66
2016-01-20,62
2016-01-21,64
2016-01-22,67
2016-01-23,63
2016-01-24,48
2016-01-25,67
2016-01-26,69
2016-01-27,83
2016-01-28,77
2016-01-29,64
2016-01-30,36
2016-01-31,35
2016-02-01,44
2016-02-02,52
2016-02-03,83
2016-02-04,108
2016-02-05,103
2016-02-06,79
2016-02-07,89
2016-02-08,89
2016-02-09,84
2016-02-10,75
2016-02-11,85
2016-02-12,63
2016-02-13,38
2016-02-14,46
2016-02-15,50
2016-02-16,42
2016-02-17,38
2016-02-18,36
2016-02-19,46
2016-02-20,52
2016-02-21,47
2016-02-22,34
2016-02-23,37
2016-02-24,34
2016-02-25,26
2016-02-26,48
2016-02-27,26
2016-02-28,36
2016-02-29,45
2016-03-01,68
2016-03-02,78
2016-03-03,77
2016-03-04,111
2016-03-05,83
2016-03-06,78
2016-03-07,79
2016-03-08,63
2016-03-09,91
2016-03-10,80
2016-03-11,51
2016-03-12,70
2016-03-13,57
2016-03-14,70
2016-03-15,59
2016-03-16,79
2016-03-17,72
2016-03-18,47
2016-03-19,37
2016-03-20,36
2016-03-21,33
2016-03-22,20
2016-03-23,21
2016-03-24,35
2016-03-25,34
2016-03-26,32
2016-03-27,32
2016-03-28,30
2016-03-29,20
2016-03-30,17
2016-03-31,16
2016-04-01,12
2016-04-02,12
2016-04-03,12
2016-04-04,40
2016-04-05,33
2016-04-06,20
2016-04-07,18
2016-04-08,26
2016-04-09,25
2016-04-10,34
2016-04-11,43
2016-04-12,37
2016-04-13,48
2016-04-14,46
2016-04-15,33
2016-04-16,42
2016-04-17,36
2016-04-18,31
2016-04-19,28
2016-04-20,25
2016-04-21,26
2016-04-22,21
2016-04-23,13
2016-04-24,37
2016-04-25,45
2016-04-26,57
2016-04-27,76
2016-04-28,90
2016-04-29,82
2016-04-30,89
2016-05-01,87
2016-05-02,83
2016-05-03,73
2016-05-04,71
2016-05-05,60
2016-05-06,57
2016-05-07,34
2016-05-08,44
2016-05-09,52
2016-05-10,76
2016-05-11,79
2016-05-12,83
2016-05-13,78
2016-05-14,88
2016-05-15,87
2016-05-16,55
2016-05-17,38
2016-05-18,30
2016-05-19,43
2016-05-20,46
2016-05-21,18
2016-05-22,28
2016-05-23,16
2016-05-24,25
2016-05-25,35
2016-05-26,34
2016-05-27,34
2016-05-28,33
2016-05-29,33
2016-05-30,41
2016-05-31,36
